path,composition,minority,minority_count,majority,mixed,task_order,replicate_id,agent_id,family,is_minority,final_balance
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,0,Agent_1,Gemini,True,20.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,0,Agent_2,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,0,Agent_3,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,0,Agent_4,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,0,Agent_5,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,0,Agent_6,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,0,Agent_7,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_000_neutral_rep00.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,0,Agent_8,GPT,False,40.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,1,Agent_1,Gemini,True,20.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,1,Agent_2,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,1,Agent_3,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,1,Agent_4,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,1,Agent_5,GPT,False,40.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,1,Agent_6,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,1,Agent_7,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_001_neutral_rep01.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,1,Agent_8,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_002_neutral_rep02.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,2,Agent_1,Gemini,True,20.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_002_neutral_rep02.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,2,Agent_2,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_002_neutral_rep02.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,2,Agent_3,GPT,False,25.0
data/json/noise_experiments/mixed_model_populations_20260918/mixed_pop_game_gemini1_gpt7_n5/gemini-3.7-flash+gpt-5-nano/game/noisy8_crossmodel_negative_game_r3/mixed_pop_game_gemini1_gpt7_n5_002_neutral_rep02.json,1 Gemini + 7 GPT,Gemini,1,GPT,True,game,2,Agent_4,GPT,False,25.0
